,accuracy,partial_accuracy,time,cost,method_usage,exact_matches,partial_matches,successful_predictions,failed_predictions
embedding_only,0.6,0.8,12.344431161880493,0.00018057,{'embedding': 5},3,4,5,0
hybrid_conservative,0.6,0.8,15.397783041000366,0.04188457,{'hybrid': 5},3,4,5,0
hybrid_balanced,0.6,0.8,17.100046634674072,0.04188457,{'hybrid': 5},3,4,5,0
hybrid_aggressive,0.6,0.8,13.52538776397705,0.00874257,"{'embedding': 4, 'hybrid': 1}",3,4,5,0
llm_only,0.6,0.8,14.89652132987976,0.04188457,{'hybrid': 5},3,4,5,0
