,accuracy,partial_accuracy,time,cost,method_usage,exact_matches,partial_matches,successful_predictions,failed_predictions
embedding_only,0.6,0.8,9.177881002426147,0.00018057,{'embedding': 5},3,4,5,0
hybrid_conservative,0.6,0.8,12.079889059066772,0.04188457,{'hybrid': 5},3,4,5,0
hybrid_balanced,0.6,0.8,10.38580322265625,0.00874257,"{'embedding': 4, 'hybrid': 1}",3,4,5,0
hybrid_aggressive,0.6,0.8,10.361874103546143,0.00874257,"{'embedding': 4, 'hybrid': 1}",3,4,5,0
llm_only,0.6,0.8,11.447932958602905,0.04188457,{'hybrid': 5},3,4,5,0
