category,precision,recall,f1_score,support
skin/lip-care/wrinkles-fillers,0.0,0.0,0.0,0
skin/loss-firmness/specific-moisturizers,0.0,0.0,0.0,4
skin/makeup-removers,0.0,0.0,0.0,0
skin/masks-exfoliators/anti-ageing,0.2,0.5,0.2857142857142857,2
skin/masks-exfoliators/anti-spots-masks,0.0,0.0,0.0,0
skin/masks-exfoliators/exfoliating,0.0,0.0,0.0,1
skin/masks-exfoliators/tissue-masks,0.5,0.5,0.5,4
skin/moisturisers,0.0,0.0,0.0,0
skin/moisturisers/oiliness-acne-pores,0.5,0.5,0.5,2
skin/moisturisers/redness-rosacea,1.0,0.5,0.6666666666666666,2
skin/oiliness-acne-pores/essences-preparing-lotions,0.0,0.0,0.0,1
skin/oiliness-acne-pores/targeted-correction,0.0,0.0,0.0,0
skin/seruns/redness-rosacea,0.0,0.0,0.0,1
sun-tan/after-sun,0.0,0.0,0.0,1
sun-tan/body/normal-skin,0.0,0.0,0.0,2
sun-tan/eyes-lips-sensitive-areas,0.0,0.0,0.0,0
sun-tan/face,0.0,0.0,0.0,0
sun-tan/face/combination-to-oily-skin,0.0,0.0,0.0,1
sun-tan/face/dry-skin,0.0,0.0,0.0,0
sun-tan/face/lightness-anti-spots,0.0,0.0,0.0,1
sun-tan/face/normal-skin,0.0,0.0,0.0,3
sun-tan/face/sensitive-intolerant-skin,0.0,0.0,0.0,1
sun-tan/normal-skin/body,0.0,0.0,0.0,2
sun-tan/self-tanning,1.0,0.3333333333333333,0.5,3
sun-tan/sensitivity/face,0.0,0.0,0.0,0
supplements-vitamins/anti-ageing,1.0,1.0,1.0,1
supplements-vitamins/brain-memory,0.0,0.0,0.0,0
supplements-vitamins/energy-tiredness,0.0,0.0,0.0,2
supplements-vitamins/sun-care,0.0,0.0,0.0,0
